Unnamed: 0,name_x,summary,date,platform,score,url,userscore,ID,developer,publisher,popular_tags,game_details,genre,appid
0,Half-Life 2,"[Metacritic's 2004 PC Game of the Year]  By taking the suspense, challenge and visceral charge of the original, and adding startling new realism and responsiveness, Half-Life 2 opens the door to a world where the player's presence affects everything around him, from the physical environment to the behaviors -- even the emotions -- of both friends and enemies. The player again picks up the crowbar of research scientist Gordon Freeman, who finds himself on an alien-infested Earth being picked to the bone, its resources depleted, its populace dwindling. Freeman is thrust into the unenviable role of rescuing the world from the wrong he unleashed back at Black Mesa. And a lot of people -- people he cares about -- are counting on him. [Vivendi Universal]",2004-11-16,PC,96,/game/pc/half-life-2,9.2,halflife2,Valve,"Valve,Valve","FPS,Action,Sci-fi,Classic,Singleplayer,Masterpiece,Story Rich,Shooter,First-Person,Adventure,Dystopian,Atmospheric,Zombies,Silent Protagonist,Aliens,Physics,Great Soundtrack,Puzzle,Multiplayer,Horror","Single-player,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Includes Source SDK",Action,220
1,Grand Theft Auto V,"Los Santos: a sprawling sun-soaked metropolis full of self-help gurus, starlets and fading celebrities, once the envy of the Western world, now struggling to stay alive in a time of economic uncertainty and cheap reality TV. Amidst the turmoil, three very unique criminals plot their own chances of survival and success: Franklin, a street hustler looking for tangible opportunities and serious money; Michael, a professional ex-con whose retirement is less rosy than he figured it would be; and Trevor, a violent dude driven by the opportunity for a cheap high and his next big score. With options at a premium, the crew risks it all in a myriad of daring and dangerous heists that could set them up for life.",2015-04-13,PC,96,/game/pc/grand-theft-auto-v,7.8,grandtheftautov,Rockstar North,"Rockstar Games,Rockstar Games","Open World,Action,Multiplayer,Third Person,First-Person,Crime,Shooter,Adventure,Third-Person Shooter,Singleplayer,Mature,Racing,Atmospheric,Co-op,Sandbox,Funny,Great Soundtrack,Comedy,Masterpiece,Moddable","Single-player,Multi-player,Steam Achievements,Full controller support","Action,Adventure",271590
2,Half-Life,"Half-Life combines great storytelling in the tradition of Stephen King with intense action and advanced technology to create a frighteningly realistic world where players need to think smart to survive. Half-Life has won more than 50 Game of the Year awards from publications around the world, and was named 'Best PC Game Ever' in PC Gamer's November 1999 issue. [Sierra]",1998-11-19,PC,96,/game/pc/half-life,9.1,halflife,Valve,"Valve,Valve","FPS,Classic,Action,Sci-fi,Singleplayer,Masterpiece,Shooter,First-Person,1990's,Aliens,Multiplayer,Story Rich,Adventure,Atmospheric,Silent Protagonist,Great Soundtrack,Moddable,Retro,Linear,Difficult","Single-player,Multi-player,Online Multi-Player,Steam Cloud,Valve Anti-Cheat enabled",Action,70
3,BioShock,"Going beyond ""run and gun corridors,"" ""monster-closet AIs"" and static worlds, BioShock creates a living, unique and unpredictable FPS experience. After your plane crashes into icy uncharted waters, you discover a rusted bathysphere and descend into Rapture, a city hidden beneath the sea. Constructed as an idealistic society for a hand picked group of scientists, artists and industrialists, the idealism is no more. Now the city is littered with corpses, wildly powerful guardians roam the corridors as little girls loot the dead, and genetically mutated citizens ambush you at every turn. Take control of your world by hacking mechanical devices, commandeering security turrets and crafting unique items critical to your very survival. Upgrade your weapons with ionic gels, explosives and toxins to customize them to the enemy and environment. Genetically modify your body through dozens of Plasmid Stations scattered throughout the city, empowering you with fantastic and often grotesque abilities. Explore a living world powered by Ecological A.I., where the inhabitants have interesting and consequential relationships with one another that impact your gameplay experience. Experience truly next generation graphics that vividly illustrate the forlorn art deco city, highlighted by the most detailed and realistic water effects ever developed in a video game. Make meaningful choices and mature decisions, ultimately culminating in the grand question: do you exploit the innocent survivors of Rapture...or save them? [2K Games]",2007-08-21,PC,96,/game/pc/bioshock,8.6,bioshock,"2K Boston,2K Australia","2K,2K","FPS,Atmospheric,Action,Story Rich,Singleplayer,Horror,Steampunk,First-Person,Shooter,Masterpiece,RPG,Sci-fi,Classic,Adventure,Dystopian,Underwater,Political,Dark,Great Soundtrack,Alternate History","Single-player,Partial Controller Support","Action,RPG",7700
4,Portal 2,"Valve is working on a full-length sequel to its award-winning, mind-bending puzzle action game for the Xbox 360 and PC.",2011-04-18,PC,95,/game/pc/portal-2,9.1,portal2,Valve,"Valve,Valve","Puzzle,Co-op,First-Person,Sci-fi,Comedy,Singleplayer,Online Co-Op,Funny,Adventure,Science,Female Protagonist,Story Rich,Action,Multiplayer,Atmospheric,Masterpiece,Local Co-Op,FPS,Strategy,Space","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Workshop,Steam Cloud,Stats,Includes level editor,Commentary available","Action,Adventure",620
5,Mass Effect 2,"The Mass Effect trilogy is a science fiction adventure set in a vast universe filled with dangerous alien life forms and mysterious uncharted planets. In this dark second chapter, Saren’s evil army of Geth soldiers has just been defeated, and humans, who are still struggling to make their mark on the galactic stage, are now faced with an even greater peril. [BioWare]",2010-01-26,PC,94,/game/pc/mass-effect-2,8.9,masseffect2,BioWare,"Electronic Arts,Electronic Arts","RPG,Sci-fi,Story Rich,Third-Person Shooter,Action,Space,Singleplayer,Great Soundtrack,Adventure,Cinematic,Choices Matter,Masterpiece,Third Person,Shooter,Romance,Character Customization,Atmospheric,Female Protagonist,Action RPG,Real-Time with Pause",Single-player,RPG,24999
6,BioShock Infinite,"Initially conceived as a floating symbol of American ideals at a time when the United States was emerging as a world power, Columbia is sent to distant shores with great fanfare by a captivated public.  What begins as a fresh new endeavor of hope turns drastically wrong as the city soon disappears into the clouds to whereabouts unknown. The player takes on the role of former Pinkerton agent Booker DeWitt, sent to the lost city to rescue Elizabeth, a young lady imprisoned there since her childhood. He develops a relationship with Elizabeth, enhancing his abilities with hers so the pair may escape from a city that is literally falling from the sky. DeWitt has to learn to fight foes in high-speed Sky-Line battles, engage in combat both indoors and amongst the clouds, and harness the power of a myriad of new weapons and abilities.",2013-03-25,PC,94,/game/pc/bioshock-infinite,8.6,bioshockinfinite,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)","2K,Aspyr (Mac),2K,Aspyr (Mac)","FPS,Story Rich,Action,Singleplayer,Steampunk,Atmospheric,Masterpiece,Shooter,First-Person,Alternate History,Beautiful,Adventure,Great Soundtrack,Dystopian,Sci-fi,Time Travel,Fantasy,Gore,Linear,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,8870
7,Divinity: Original Sin Enhanced Edition,"Divinity Original Sin: Enhanced Edition is a much lauded Role-Playing-Game that blends deep customization and humor with dynamic turn based combat. Either in online co-op, split-screen co-op on your TV, or even alone, take advantage of a classless RPG system to create your heroes and conquer the evils of Rivellon!

Embark upon a journey with up to three companions as you bend the very fabric of time, where what seems like the case of a simple murder unravels into hours of quests facing fiendish foes, magical polymorphs, and dastardly bosses. As a Source Hunter, master the elements and use the environment to your advantage in dynamic combats mixing weather and magic to explode, poison, electrify, freeze and burn your enemies!",2015-10-27,PC,94,/game/pc/divinity-original-sin-enhanced-edition,8.2,divinityoriginalsinenhancededition,Larian Studios,"Larian Studios,Larian Studios","RPG,Turn-Based,Co-op,Fantasy,Adventure,Party-Based RPG,Story Rich,Strategy,Turn-Based Combat,Open World,Character Customization,Singleplayer,Isometric,Local Co-Op,CRPG,Multiplayer,Great Soundtrack,Split Screen,Turn-Based Strategy,Indie","Single-player,Multi-player,Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud","Adventure,Indie,RPG,Strategy",373420
8,The Witcher 3: Wild Hunt,"With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format.",2015-05-18,PC,93,/game/pc/the-witcher-3-wild-hunt,9.1,thewitcher3wildhunt,CD PROJEKT RED,"CD PROJEKT RED,CD PROJEKT RED","Open World,RPG,Story Rich,Atmospheric,Mature,Fantasy,Adventure,Singleplayer,Choices Matter,Masterpiece,Nudity,Great Soundtrack,Third Person,Action,Medieval,Multiple Endings,Action RPG,Dark Fantasy,Magic,Dark","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",RPG,292030
9,Beat Saber,Beat Saber is a VR rhythm game where your goal is to slash the beats which perfectly fit into precisely handcrafted music.,2019-05-21,PC,93,/game/pc/beat-saber,8.5,beatsaber,Beat Games,"Beat Games,Beat Games","VR,Rhythm,Music,Great Soundtrack,Indie,Fast-Paced,Singleplayer,Moddable,First-Person,Difficult,Sports,Action,Early Access,Swordplay,Star Wars,Memes,Multiplayer,Anime,Music-Based Procedural Generation,Horror","Single-player,Steam Leaderboards",Indie,620980
10,Call of Duty 4: Modern Warfare,"As Call of Duty 4: Modern Warfare's single player campaign unfolds, the player is introduced to new gameplay at every turn – one moment you are fast-roping from your Black Hawk helicopter after storming into the war zone with an armada of choppers, the next you are a sniper, under concealment, in a Ghillie suit miles behind enemy lines, the next you are engaging hostiles from an AC-130 gunship thousands of feet above the battlefield. Mixed with explosive action, Call of Duty 4: Modern Warfare also delivers special effects, including use of depth of field, rim-lighting, character self-shadowing, real time post-processing, texture streaming as well as physics-enabled effects. Infinity Ward deployed a dedicated team from the start to deliver a new level of depth to multiplayer. Building on the hit ""Call of Duty 2"" online experience, Call of Duty 4: Modern Warfare's new multiplayer provides the community an addictive and accessible experience to gamers of all levels. [Activision]",2007-11-05,PC,92,/game/pc/call-of-duty-4-modern-warfare,8.5,callofduty4modernwarfare,"Infinity Ward,Aspyr (Mac)","Activision,Aspyr (Mac),Activision,Aspyr (Mac)","FPS,Action,Multiplayer,Shooter,First-Person,Classic,Singleplayer,Military,War,Masterpiece,PvP,Linear,Great Soundtrack,Modern,Story Rich,Atmospheric,Co-op,Moddable,Competitive,Controller","Single-player,Multi-player",Action,7950
11,Team Fortress 2,"Team Fortress 2 (TF2) is the sequel to the game that put class-based, multiplayer team warfare on the map. TF2 delivers new gametypes, a signature art style powered by Valve’s next generation animation technology, persistent player statistics, and more. Unlike other ""class-based"" games that offer a variety of combat classes only, Team Fortress 2 packs a wild variety of classes which provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills. Play as the flame-throwing Pyro, the room clearing Heavy, or the Spy, a master of disguises. Other classes include: Scout, Sniper, Medic, Engineer, Demoman, or Soldier. TF2 features the most advanced graphics of any Source-based game released to date – and the most exciting class-based action ever created. [Valve]",2007-10-10,PC,92,/game/pc/team-fortress-2,9.0,teamfortress2,Valve,"Valve,Valve","Free to Play,Multiplayer,FPS,Shooter,Action,Class-Based,Team-Based,Funny,First-Person,Online Co-Op,Competitive,Cartoony,Trading,Co-op,Comedy,Robots,Tactical,Cartoon,Crafting,Moddable","Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Captions available,Steam Workshop,In-App Purchases,Partial Controller Support,Valve Anti-Cheat enabled,Stats,Includes level editor,Commentary available","Action,Free to Play",440
12,Undertale,"Welcome to UNDERTALE. In this RPG, you control a human who falls underground into the world of monsters. Now you must find your way out... or stay trapped forever.",2015-09-15,PC,92,/game/pc/undertale,8.5,undertale,tobyfox,"tobyfox,tobyfox","Great Soundtrack,Story Rich,Choices Matter,Funny,Multiple Endings,Pixel Graphics,RPG,Singleplayer,Indie,Comedy,2D,Replay Value,Cute,Bullet Hell,Memes,Retro,Dark,Psychological Horror,Dating Sim,Horror","Single-player,Steam Trading Cards","Indie,RPG",391540
13,Dishonored,"Approach each assassination with your own unique style. Use shadow and sound to your advantage to traverse silently through levels unseen by enemies, or attack foes head-on as they react to your aggression. The malleable combat system allows you to creatively synthesize your abilities, supernatural powers and gadgets as you negotiate your way through the levels and dispatch your targets. Improvise and adapt to define your modus operandi.",2012-10-08,PC,91,/game/pc/dishonored,8.5,dishonored,Arkane Studios,"Bethesda Softworks,Bethesda Softworks","Stealth,First-Person,Action,Steampunk,Assassin,Singleplayer,Atmospheric,Story Rich,Adventure,Multiple Endings,Dark,Magic,Dystopian,FPS,RPG,Replay Value,Fantasy,Masterpiece,Open World,Shooter","Single-player,Steam Achievements,Full controller support,Steam Cloud","Action,Adventure",205100
14,Metal Gear Solid V: The Phantom Pain,"The Soviet invasion of Afghanistan has brought a new edge to the Cold War, and in 1984, a one-eyed man with a prosthetic arm appears in the country. Those who know him call him Snake; the legendary mercenary who was once swept from the stage of history and left in a coma by American private intelligence network Cipher. Snake is accompanied by Ocelot, an old friend who saved him from attack when he finally awoke.

Now, Snake's former partner Kazuhira Miller is being held by the Soviet forces in Afghanistan. Snake must undertake a solo mission to rescue Miller and prove to the world that the legendary mercenary is not dead and gone. That first step will lead to a path of vengeance against the very Cipher that slaughtered so many of Snake's men, and to a battle that will embroil the whole world...

What started in Ground Zeroes must finish with ""V"".",2015-09-01,PC,91,/game/pc/metal-gear-solid-v-the-phantom-pain,7.9,metalgearsolidvthephantompain,Konami Digital Entertainment,"Konami Digital Entertainment,Konami Digital Entertainment","Stealth,Open World,Story Rich,Action,Tactical,Cinematic,Great Soundtrack,Third Person,Singleplayer,Atmospheric,Horses,Multiplayer,Adventure,Third-Person Shooter,Shooter,Replay Value,Sandbox,Masterpiece,Dark,Sci-fi","Single-player,Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards","Action,Adventure",287700
15,Dark Souls II,Dark Souls II brings the franchise’s renowned difficulty & gripping gameplay innovations to both single and multiplayer experiences.,2014-04-25,PC,91,/game/pc/dark-souls-ii,7.2,darksoulsii,"FromSoftware, Inc","BANDAI NAMCO Entertainment,FromSoftware, Inc,BANDAI NAMCO Entertainment,FromSoftware, Inc","Masterpiece,RPG,Dark Fantasy,Difficult,Action RPG,Action,Unforgiving,Adventure,Exploration,Atmospheric,Co-op,Multiplayer,Fantasy,Epic,PvP,Third Person,Replay Value,Open World,Dark,Medieval","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support","Action,RPG",236430
16,Factorio,"Factorio is a game about building and creating automated factories to produce items of increasing complexity, within an infinite 2D world. Use your imagination to design your factory, combine simple elements into ingenious structures, and finally protect it from the creatures who don't really like you.",2020-08-14,PC,90,/game/pc/factorio,8.1,factorio,Wube Software LTD.,"Wube Software LTD.,Wube Software LTD.","Early Access,Base Building,Resource Management,Sandbox,Crafting,Strategy,Survival,Multiplayer,Open World,Management,Co-op,Early Access,Moddable,Trains,Singleplayer,Simulation,Automation,Indie,Sci-fi,Aliens","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Includes level editor","Casual,Indie,Simulation,Strategy,Early Access",427520
17,Portal,"Portal is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and offers gamers hours of unique gameplay. The game is designed to change the way players approach, manipulate, and surmise the possibilities in a given environment; similar to how Half-Life 2's Gravity Gun innovated new ways to leverage an object in any given situation. Players must solve physical puzzles and challenges by opening portals to maneuvering objects, and themselves, through space. [Valve]",2007-10-10,PC,90,/game/pc/portal,9.2,portal,Valve,"Valve,Valve","Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,Female Protagonist,Funny,Physics,Action,Story Rich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,Dark Humor,Great Soundtrack","Single-player,Steam Achievements,Captions available,Partial Controller Support,Includes level editor,Includes Source SDK,Commentary available",Action,400
18,Metro: 2033 Redux,"Metro 2033 Redux is the definitive version of the cult classic ‘Metro 2033’, rebuilt in the latest and greatest iteration of the 4A Engine for Next Gen. Fans of the original game will find the unique world of Metro transformed with incredible lighting, physics and dynamic weather effects. Newcomers will get the chance to experience one of the finest story-driven shooters of all time; an epic adventure combining gripping survival horror, exploration and tactical combat and stealth.",2014-08-25,PC,90,/game/pc/metro-2033-redux,8.1,metro2033redux,4A Games,"Deep Silver,Deep Silver","Post-apocalyptic,Atmospheric,FPS,Action,Story Rich,Singleplayer,Horror,First-Person,Shooter,Stealth,Based On A Novel,Survival Horror,Adventure,Survival,Remake,Masterpiece,Mature,Gore,Classic,Multiplayer","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,286690
